label;HI1;HI3;HI5;HI7;HI9;HI11
BlenderKipas;99.51;7.35;3.77;2.42;1.96;1.14
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.65;7.03;3.29;2.17;1.44;0.64
BlenderKipas;99.49;7.38;2.97;3.36;1.16;1.62
BlenderKipas;99.49;7.73;2.7;3.15;1.66;0.36
BlenderKipas;99.63;7.33;3.25;2.09;1.29;1.22
BlenderKipas;99.6;6.77;3.2;2.48;2.25;0.71
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.63;7.3;3.35;2.08;1.24;0.88
BlenderKipas;99.61;7.26;3.77;2.03;1.02;1.28
BlenderKipas;99.59;7.63;3.54;2.31;1.53;1.09
BlenderKipas;99.56;7.75;4.05;1.97;2.06;0.75
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.64;6.9;2.93;1.72;1.64;0.95
BlenderKipas;99.49;7.99;2.58;3.1;1.04;0.91
BlenderKipas;99.59;7.62;3.43;1.92;1.74;1.41
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.86;4.51;1.7;1.07;1.19;0.63
Pemanas AirKipas;99.86;4.5;1.76;1.01;1.25;0.54
Pemanas AirKipas;99.87;4.49;1.56;1.16;1.19;0.61
Pemanas AirKipas;99.87;4.25;1.84;0.97;1.24;0.51
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.5;1.49;0.88;1.19;0.36
Pemanas AirKipas;99.86;4.37;1.85;1.19;1.04;0.48
Pemanas AirKipas;99.85;4.59;1.54;1.33;1.16;0.59
Pemanas AirKipas;99.87;4.4;1.64;1.05;0.83;0.84
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.26;1.39;1.3;1.06;0.55
Pemanas AirKipas;99.86;4.53;1.64;1.13;1.12;0.76
Pemanas AirKipas;99.85;4.62;1.6;1.29;1.35;0.68
Pemanas AirKipas;99.87;4.33;1.67;1.11;1.37;0.63
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.86;4.47;1.79;1.18;1.37;0.75
Pemanas AirKipas;99.84;4.57;1.86;1.39;1.01;0.82
Pemanas AirKipas;99.87;4.41;1.76;1.01;1.3;0.44
Pemanas AirKipas;99.87;4.56;1.61;0.9;0.92;0.62
Pemanas AirKipas;99.86;4.5;1.6;1.2;1.34;0.5
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.42;1.6;1.17;1.05;0.6
Pemanas AirKipas;99.86;4.71;1.73;1.05;0.89;0.47
Pemanas AirKipas;99.86;4.58;1.6;1.33;1.25;0.47
Pemanas AirKipas;99.86;4.51;1.68;0.83;1.08;0.54
Pemanas AirKipas;99.86;4.59;1.62;1.25;1.3;0.82
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0;0
HairdryerBlenderKipas;99.77;4.97;2.79;2.03;1.48;0.89
HairdryerBlenderKipas;99.83;4.81;2.52;1.31;1.41;0.59
HairdryerBlenderKipas;99.86;3.97;2.49;1.23;1.65;0.75
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;99.79;5.25;2.47;1.74;1.14;0.83
HairdryerBlenderKipas;99.81;4.91;2.39;1.66;1.18;0.46
HairdryerBlenderKipas;99.82;4.78;2.59;1.43;0.9;0.53
HairdryerBlenderKipas;99.8;5.03;2.6;1.04;1.59;0.57
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0;0
HairdryerBlenderKipas;99.83;4.7;2.52;1.39;1.25;0.6
HairdryerBlenderKipas;99.8;5.01;2.37;1.79;1.12;0.6
HairdryerBlenderKipas;99.82;4.79;2.84;1.21;1.39;0.56
HairdryerBlenderKipas;99.81;5.04;2.64;1.03;1.27;0.84
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0.9;0.73
HairdryerBlenderKipas;99.76;5.47;2.76;1.69;1.05;0.75
HairdryerBlenderKipas;99.75;5.26;2.99;1.67;1.64;0.6
HairdryerBlenderKipas;99.82;4.9;2.87;1.19;1.23;0.49
HairdryerBlenderKipas;99.8;5.06;2.75;1.32;1.44;0.96
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0;0
HairdryerBlenderKipas;99.81;4.88;2.32;1.7;1.22;0.6
HairdryerBlenderKipas;99.81;5;2.86;1.24;1.27;0.7
HairdryerBlenderKipas;99.81;4.93;2.74;1.47;1.41;0.83
HairdryerBlenderKipas;99.82;4.75;2.82;1.61;0.94;0.74
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderPemanas Air;99.87;4.09;1.94;1.11;1.34;0.57
HairdryerBlenderPemanas Air;99.88;3.9;2.01;1.08;1.24;0.68
HairdryerBlenderPemanas Air;99.89;3.89;1.99;0.97;1.22;0.58
HairdryerBlenderPemanas Air;99.88;3.99;1.97;1.06;1.33;0.56
HairdryerBlenderPemanas Air;99.88;3.89;2;1.17;1.13;0.55
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderPemanas Air;99.89;3.82;2.05;1.16;0.83;0.58
HairdryerBlenderPemanas Air;99.88;3.99;1.94;1.12;1.28;0.58
HairdryerBlenderPemanas Air;99.88;3.97;1.99;1.11;1.23;0.56
HairdryerBlenderPemanas Air;99.89;3.83;1.82;1.1;1.16;0.58
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderPemanas Air;99.89;3.9;1.9;1.16;1.07;0.47
HairdryerBlenderPemanas Air;99.89;3.96;1.88;1;1.1;0.47
HairdryerBlenderPemanas Air;99.88;4.09;1.8;1.04;1.06;0.46
HairdryerBlenderPemanas Air;99.87;4.18;2.04;1.49;1.01;0.8
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderPemanas Air;99.88;4.11;2.13;0.87;1.06;0.38
HairdryerBlenderPemanas Air;99.88;3.95;1.97;1.08;1.09;0.59
HairdryerBlenderPemanas Air;99.87;4.05;1.92;1.1;1.21;0.74
HairdryerBlenderPemanas Air;99.88;4;1.94;0.97;1.19;0.71
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderPemanas Air;99.87;4.2;2.03;1.21;1.27;0.52
HairdryerBlenderPemanas Air;99.88;4.01;1.86;1.07;1.07;0.56
HairdryerBlenderPemanas Air;99.88;4.06;1.81;1.04;1.23;0.57
HairdryerBlenderPemanas Air;99.89;3.94;1.96;1.11;1.09;0.57
HairdryerBlenderPemanas Air;99.88;4.02;1.95;1.08;1.29;0.42
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas AirKipas;0;0;0;0;0;0
BlenderPemanas AirKipas;99.88;4.06;1.95;1.2;1.29;0.44
BlenderPemanas AirKipas;99.87;4.13;1.94;1.18;1.27;0.62
BlenderPemanas AirKipas;99.88;4.05;1.96;1.24;1.4;0.46
BlenderPemanas AirKipas;99.87;4.14;1.92;1.19;1.3;0.37
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas AirKipas;0;0;0;0;0;0
BlenderPemanas AirKipas;99.88;4.08;1.93;1.05;1.27;0.5
BlenderPemanas AirKipas;99.87;4.1;1.85;1.23;1.33;0.53
BlenderPemanas AirKipas;99.88;4.09;1.86;1.01;1.35;0.46
BlenderPemanas AirKipas;99.88;4.07;1.83;1.02;1.19;0.45
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas AirKipas;0;0;0;0;0;0
BlenderPemanas AirKipas;99.87;4.09;2.01;1.17;1.3;0.57
BlenderPemanas AirKipas;99.88;4.11;1.98;1.09;1.35;0.46
BlenderPemanas AirKipas;99.88;4.04;2.1;1.16;1.44;0.52
BlenderPemanas AirKipas;99.89;27.24;9.54;24.19;7.16;13.54
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas AirKipas;99.88;4.14;1.83;1.1;1.2;0.5
BlenderPemanas AirKipas;99.87;4.09;2;1.21;1.35;0.56
BlenderPemanas AirKipas;99.88;4.18;1.8;1.01;1;0.47
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas AirKipas;0;0;0;0;0;0
BlenderPemanas AirKipas;99.88;4.12;1.9;0.84;1.11;0.45
BlenderPemanas AirKipas;99.88;4.13;1.94;1.08;1.18;0
BlenderPemanas AirKipas;99.88;4.08;1.85;1;0.94;0.37
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipasHairdryer;99.87;4.1;1.97;1.14;1.5;0.62
Pemanas AirKipasHairdryer;99.88;4.07;2.08;1.04;1.11;0.61
Pemanas AirKipasHairdryer;99.87;4.13;1.94;0.86;1.41;0.57
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipasHairdryer;99.87;4.09;2.01;0.86;1.41;0.71
Pemanas AirKipasHairdryer;99.87;4.09;2.07;0.93;1.4;0.56
Pemanas AirKipasHairdryer;99.87;4.21;2.05;0.94;1.23;0.73
Pemanas AirKipasHairdryer;99.88;4.09;1.94;0.94;1.19;0.73
Pemanas AirKipasHairdryer;99.88;4.11;1.93;1.01;1.3;0.66
Pemanas AirKipasHairdryer;99.89;3.97;1.87;0.82;1.19;0.57
Pemanas AirKipasHairdryer;99.88;4.09;1.92;1.03;1.3;0.61
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipasHairdryer;99.88;3.99;1.78;1.09;1.4;0.53
Pemanas AirKipasHairdryer;99.88;4.04;1.93;1.06;1.31;0.73
Pemanas AirKipasHairdryer;99.88;3.96;1.94;1.03;1.24;0.65
Pemanas AirKipasHairdryer;99.88;3.99;1.83;0.94;1.35;0.72
Pemanas AirKipasHairdryer;99.89;3.95;1.94;1.09;1.11;0.59
Pemanas AirKipasHairdryer;99.89;3.88;1.81;1.03;1.29;0.52
Pemanas AirKipasHairdryer;99.88;3.89;2.05;1.06;1.27;0.72
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipasHairdryer;0;0;0;0;0;0
Pemanas AirKipasHairdryer;99.87;4.05;1.91;1.19;1.13;0.53
Pemanas AirKipasHairdryer;99.88;4.01;1.99;1.01;1.31;0.66
Pemanas AirKipasHairdryer;99.87;4.28;1.92;1.16;1.27;0.58
Pemanas AirKipasHairdryer;99.87;4.19;2.03;1.14;1.2;0.63
Pemanas AirKipasHairdryer;99.87;4.19;1.94;1.08;1.29;0.77
Pemanas AirKipasHairdryer;99.88;3.89;2.02;0.98;1.27;0.77
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipasHairdryer;0;0;0;0;0;0
Pemanas AirKipasHairdryer;99.88;3.88;2.07;1.07;1.23;0.5
Pemanas AirKipasHairdryer;99.88;3.95;1.92;1.03;1.26;0.59
Pemanas AirKipasHairdryer;99.87;4.14;2.07;1.1;1.22;0.68
Pemanas AirKipasHairdryer;99.88;4.03;1.94;1.08;1.25;0.69
Pemanas AirKipasHairdryer;99.88;4;1.98;1.09;1.25;0.55
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;99.81;5.07;2.8;1.45;1.34;0.54
KipasPemanas AirBlenderHairdryer;99.88;4.14;2;1.08;1.14;0.51
KipasPemanas AirBlenderHairdryer;99.89;3.93;1.96;0.98;1.06;0.4
KipasPemanas AirBlenderHairdryer;99.87;4.14;2;1.09;1.18;0.61
KipasPemanas AirBlenderHairdryer;99.88;4.11;2.09;1.04;1.15;0.56
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;99.87;4.23;2.01;1.15;1.04;0.5
KipasPemanas AirBlenderHairdryer;99.87;4.18;2.23;0.98;1.1;0.65
KipasPemanas AirBlenderHairdryer;99.87;4.15;1.96;0.98;1.23;0.57
KipasPemanas AirBlenderHairdryer;99.87;4.23;2.02;1.09;1.23;0.51
KipasPemanas AirBlenderHairdryer;99.87;4.06;2.09;1.17;1.24;0.73
KipasPemanas AirBlenderHairdryer;99.86;4.21;2.02;1.23;1.29;0.66
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;99.86;4.31;2.14;1.09;1.32;0.46
KipasPemanas AirBlenderHairdryer;99.87;4.12;2.04;1.01;1.18;0.65
KipasPemanas AirBlenderHairdryer;99.87;4.31;1.99;1.02;1.19;0.57
KipasPemanas AirBlenderHairdryer;99.87;4.17;2.03;1.06;1.26;0.6
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;99.87;4.27;2.09;1.09;1.23;0.57
KipasPemanas AirBlenderHairdryer;99.88;4.19;1.99;1.01;0.92;0.62
KipasPemanas AirBlenderHairdryer;99.87;4.23;1.93;1.13;1.26;0.58
KipasPemanas AirBlenderHairdryer;99.87;4.2;2.06;0.93;1.26;0.64
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
KipasPemanas AirBlenderHairdryer;99.89;3.84;1.8;1.09;1.11;0.58
KipasPemanas AirBlenderHairdryer;99.88;4.16;1.96;1.06;1.24;0.72
KipasPemanas AirBlenderHairdryer;99.87;4.21;2.04;1.07;1.22;0.64
KipasPemanas AirBlenderHairdryer;99.81;5.1;2.54;1.39;1.22;0.82
Kosong;0;0;0;0;0;0
